Tanggal,Komentar
2026-06-03,program TAIK
2026-06-03,Mending beli warung tetangga ngraketke sedulur jika butuh pertolongan pasti tetangga yg paling dekat untuk menolong bukan pejabat/aparat desa.
2026-06-03,Uang rakyat dikelola seenaknyavpake dana desa utk koprasi merah putih tinggal bangkrutnya
2026-06-03,Aku yakin komdes tidak akan jalan sekarang orang belanja itu lewat online dan kalau beli sayuran atau kebutuhan dapur tiap-pagi atau sore hari banyak kebutuhan dapur banyak yang menawarkan jadi tidak pergi jauh aku yakin komdes akan nutup dan bubar jalan
2026-06-02,Jabatan diberikan pada yg bukan ahlinya Tunggu KEHANCURANnya
2026-06-02,"Mending blnja di warung Madura,murah meriahhh"
2026-06-02,mendengar nama daripada koperasi merah putih mengingatken daripada koperasi unit desa sekarang nasibnya bagaimana apakah nanti sama ngak ada kabar beritanya lagi entahlah.
2026-06-02,"Mantap kopdes, luar biasa sangat membantu kami yg kurang mampu, keren²"
2026-06-02,Koprasi makan bersama oleh korporasi. Cek amati modalnya hasilnya jadi korup
2026-06-02,Gk pingin beli disitu takut ikut kena dosanya
2026-06-02,Suasana nya Khas zaman Belanda.
2026-06-02,Nggak lama lagi semua instansi pemerintah akan diwajibkan untuk menunjuk KDMP sebagai pemasok Mulailah korupsi dalam bentuk baru
2026-06-02,Hasil curang kepada masyarakat itu tidak akan bener koprasi merah putih hancur.
2026-06-02,Kosong raknya hahaha
2026-06-02,Pemerintah dagang bersaing dengan rayat kecil hebat y mau bal n di 2029 sori ya
2026-06-02,Oh
2026-06-02,"Itu kopdeerput ramai sekali tdk sepi, cuma mata kita aja yg tdk bisa melihat orang orang belanja di koperasi itu. Kita hrs pakai lensa suryokonto baru bisa lihat ramainya koperasi. Itu dari alam goib."
2026-06-02,"KDMP, nanti ujung-ujungnya juga, jadi gedung tak bertuan ,mangkrak,"
2026-06-02,Kadohan lek awal video mu
2026-06-02,"Seperti juga MBG,bukan isi koperasinya,bukan makanan yg sampai rakyat cuma 6500 rupiah,yg gede kan proyeknya,T dan M Lo,rakyat cuma jadi pelengkap penderita,hhh prank lo"
2026-06-02,Inti ne postingan ini apa to
2026-06-02,DEFINISI REAL DARI : BUANG2 DUWIT RAKYAT
